,Unnamed: 0,id,Stance,uclmr,athene,solat,solat_tree,solat_deep,mix_solat_uclmr
380,380,380,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
385,385,385,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
390,390,390,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
395,395,395,discuss,discuss,discuss,discuss,discuss,agree,discuss
400,400,400,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
405,405,405,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
410,410,410,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
415,415,415,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
420,420,420,discuss,discuss,discuss,discuss,unrelated,discuss,discuss
425,425,425,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
430,430,430,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
435,435,435,discuss,agree,discuss,agree,discuss,agree,discuss
440,440,440,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
445,445,445,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
450,450,450,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
455,455,455,discuss,discuss,discuss,unrelated,discuss,unrelated,discuss
460,460,460,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
465,465,465,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
470,470,470,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
475,475,475,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
480,480,480,discuss,discuss,discuss,discuss,discuss,discuss,discuss
485,485,485,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
490,490,490,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
495,495,495,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
500,500,500,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
505,505,505,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
510,510,510,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
515,515,515,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
520,520,520,discuss,discuss,discuss,discuss,discuss,disagree,discuss
525,525,525,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
530,530,530,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
535,535,535,discuss,discuss,discuss,discuss,discuss,discuss,discuss
540,540,540,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
545,545,545,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
550,550,550,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
555,555,555,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
560,560,560,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
565,565,565,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
570,570,570,discuss,discuss,discuss,discuss,discuss,agree,discuss
575,575,575,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
580,580,580,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
585,585,585,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
590,590,590,discuss,discuss,discuss,discuss,discuss,agree,discuss
595,595,595,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
600,600,600,agree,discuss,discuss,unrelated,discuss,unrelated,discuss
605,605,605,discuss,discuss,discuss,discuss,discuss,discuss,discuss
610,610,610,discuss,discuss,discuss,discuss,discuss,discuss,discuss
615,615,615,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
620,620,620,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
625,625,625,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
630,630,630,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
635,635,635,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
640,640,640,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
645,645,645,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
650,650,650,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
655,655,655,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
660,660,660,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
665,665,665,unrelated,unrelated,agree,unrelated,discuss,unrelated,unrelated
670,670,670,discuss,discuss,discuss,discuss,discuss,discuss,discuss
675,675,675,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
680,680,680,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
685,685,685,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
690,690,690,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
695,695,695,unrelated,unrelated,unrelated,discuss,discuss,unrelated,discuss
700,700,700,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
705,705,705,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
710,710,710,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
715,715,715,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
720,720,720,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
725,725,725,agree,agree,discuss,disagree,discuss,disagree,agree
730,730,730,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
735,735,735,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
740,740,740,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
745,745,745,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
750,750,750,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
755,755,755,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
760,760,760,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
765,765,765,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
770,770,770,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
775,775,775,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
780,780,780,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
785,785,785,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
790,790,790,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
795,795,795,agree,agree,agree,agree,agree,unrelated,agree
800,800,800,discuss,discuss,agree,discuss,discuss,agree,discuss
805,805,805,disagree,agree,agree,agree,agree,agree,agree
810,810,810,unrelated,discuss,unrelated,unrelated,unrelated,agree,unrelated
815,815,815,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
820,820,820,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
825,825,825,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
830,830,830,discuss,discuss,discuss,unrelated,unrelated,discuss,discuss
835,835,835,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
840,840,840,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
845,845,845,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
850,850,850,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
855,855,855,unrelated,unrelated,discuss,unrelated,unrelated,unrelated,unrelated
860,860,860,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
865,865,865,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
870,870,870,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
875,875,875,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
880,880,880,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
885,885,885,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
890,890,890,agree,agree,agree,discuss,discuss,agree,discuss
895,895,895,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
900,900,900,unrelated,discuss,unrelated,agree,agree,agree,agree
905,905,905,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
910,910,910,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
915,915,915,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
920,920,920,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
925,925,925,discuss,discuss,discuss,agree,discuss,agree,discuss
930,930,930,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
935,935,935,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
940,940,940,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
945,945,945,agree,agree,agree,agree,agree,disagree,agree
950,950,950,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
955,955,955,discuss,discuss,discuss,discuss,discuss,agree,discuss
960,960,960,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
965,965,965,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
970,970,970,discuss,discuss,agree,agree,agree,agree,discuss
975,975,975,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
980,980,980,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
985,985,985,agree,discuss,discuss,discuss,discuss,disagree,discuss
990,990,990,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
995,995,995,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1000,1000,1000,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
1005,1005,1005,agree,discuss,agree,agree,agree,agree,agree
1010,1010,1010,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1015,1015,1015,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1020,1020,1020,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
1025,1025,1025,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1030,1030,1030,discuss,discuss,discuss,discuss,discuss,discuss,discuss
1035,1035,1035,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1040,1040,1040,agree,agree,discuss,unrelated,discuss,unrelated,agree
1045,1045,1045,discuss,discuss,discuss,agree,discuss,agree,discuss
1050,1050,1050,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1055,1055,1055,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1060,1060,1060,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1065,1065,1065,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1070,1070,1070,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
1075,1075,1075,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
1080,1080,1080,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
1085,1085,1085,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1090,1090,1090,discuss,discuss,discuss,discuss,discuss,agree,discuss
1095,1095,1095,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1100,1100,1100,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1105,1105,1105,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1110,1110,1110,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1115,1115,1115,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1120,1120,1120,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1125,1125,1125,discuss,discuss,discuss,discuss,discuss,discuss,discuss
1130,1130,1130,discuss,discuss,discuss,discuss,discuss,agree,discuss
1135,1135,1135,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1140,1140,1140,disagree,discuss,agree,agree,discuss,agree,discuss
1145,1145,1145,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1150,1150,1150,discuss,discuss,discuss,agree,agree,agree,agree
1155,1155,1155,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1160,1160,1160,discuss,discuss,discuss,discuss,discuss,discuss,discuss
1165,1165,1165,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1170,1170,1170,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1175,1175,1175,unrelated,discuss,unrelated,unrelated,unrelated,unrelated,unrelated
1180,1180,1180,discuss,discuss,discuss,discuss,discuss,agree,discuss
1185,1185,1185,discuss,discuss,discuss,agree,agree,unrelated,agree
1190,1190,1190,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1195,1195,1195,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1200,1200,1200,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1205,1205,1205,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
1210,1210,1210,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1215,1215,1215,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1220,1220,1220,discuss,discuss,discuss,discuss,discuss,discuss,discuss
1225,1225,1225,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
1230,1230,1230,unrelated,discuss,unrelated,unrelated,unrelated,unrelated,unrelated
1235,1235,1235,discuss,discuss,discuss,discuss,discuss,discuss,discuss
1240,1240,1240,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1245,1245,1245,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
1250,1250,1250,discuss,discuss,discuss,agree,agree,agree,agree
1255,1255,1255,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1260,1260,1260,discuss,discuss,discuss,discuss,discuss,agree,discuss
1265,1265,1265,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1270,1270,1270,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1275,1275,1275,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
1280,1280,1280,discuss,discuss,discuss,discuss,discuss,disagree,discuss
1285,1285,1285,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1290,1290,1290,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1295,1295,1295,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1300,1300,1300,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1305,1305,1305,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1310,1310,1310,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
1315,1315,1315,discuss,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1320,1320,1320,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1325,1325,1325,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1330,1330,1330,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1335,1335,1335,disagree,discuss,unrelated,agree,discuss,agree,discuss
1340,1340,1340,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
1345,1345,1345,discuss,discuss,discuss,discuss,discuss,agree,discuss
1350,1350,1350,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1355,1355,1355,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1360,1360,1360,agree,discuss,discuss,agree,agree,unrelated,discuss
1365,1365,1365,agree,agree,agree,agree,agree,agree,agree
1370,1370,1370,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1375,1375,1375,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1380,1380,1380,discuss,discuss,discuss,discuss,discuss,discuss,discuss
1385,1385,1385,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1390,1390,1390,discuss,discuss,discuss,agree,agree,agree,discuss
1395,1395,1395,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1400,1400,1400,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1405,1405,1405,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1410,1410,1410,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1415,1415,1415,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1420,1420,1420,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1425,1425,1425,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1430,1430,1430,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1435,1435,1435,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1440,1440,1440,disagree,discuss,unrelated,discuss,discuss,unrelated,discuss
1445,1445,1445,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1450,1450,1450,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1455,1455,1455,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1460,1460,1460,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1465,1465,1465,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1470,1470,1470,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1475,1475,1475,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1480,1480,1480,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1485,1485,1485,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1490,1490,1490,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
1495,1495,1495,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1500,1500,1500,agree,discuss,discuss,unrelated,discuss,unrelated,discuss
1505,1505,1505,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1510,1510,1510,discuss,discuss,discuss,discuss,discuss,discuss,discuss
1515,1515,1515,discuss,agree,discuss,agree,discuss,agree,agree
1520,1520,1520,discuss,discuss,discuss,agree,discuss,agree,discuss
1525,1525,1525,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1530,1530,1530,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1535,1535,1535,discuss,discuss,discuss,unrelated,unrelated,unrelated,unrelated
1540,1540,1540,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1545,1545,1545,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1550,1550,1550,discuss,discuss,discuss,discuss,discuss,discuss,discuss
1555,1555,1555,discuss,discuss,unrelated,unrelated,discuss,unrelated,discuss
1560,1560,1560,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1565,1565,1565,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1570,1570,1570,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1575,1575,1575,discuss,discuss,discuss,discuss,discuss,discuss,discuss
1580,1580,1580,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1585,1585,1585,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
1590,1590,1590,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1595,1595,1595,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1600,1600,1600,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
1605,1605,1605,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1610,1610,1610,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
1615,1615,1615,discuss,agree,discuss,agree,agree,agree,agree
1620,1620,1620,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1625,1625,1625,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1630,1630,1630,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1635,1635,1635,agree,agree,agree,agree,agree,agree,agree
1640,1640,1640,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1645,1645,1645,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1650,1650,1650,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
1655,1655,1655,discuss,discuss,discuss,discuss,discuss,disagree,discuss
1660,1660,1660,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1665,1665,1665,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1670,1670,1670,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1675,1675,1675,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1680,1680,1680,unrelated,unrelated,unrelated,discuss,unrelated,discuss,unrelated
1685,1685,1685,disagree,discuss,discuss,agree,agree,agree,agree
1690,1690,1690,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1695,1695,1695,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1700,1700,1700,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1705,1705,1705,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1710,1710,1710,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1715,1715,1715,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1720,1720,1720,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1725,1725,1725,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1730,1730,1730,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1735,1735,1735,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
1740,1740,1740,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
