,Stance,solat,athene,uclmr,solat_tree,solat_deep,mix_solat_uclmr
162,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
163,discuss,agree,agree,agree,agree,agree,agree
164,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
166,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
167,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
168,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
169,discuss,discuss,discuss,discuss,discuss,discuss,discuss
171,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
172,discuss,discuss,discuss,discuss,discuss,discuss,discuss
173,discuss,discuss,discuss,discuss,discuss,discuss,discuss
174,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
176,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
177,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
178,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
179,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
181,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
182,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
183,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
184,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
186,discuss,discuss,discuss,discuss,discuss,agree,discuss
187,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
188,discuss,discuss,disagree,discuss,discuss,agree,discuss
189,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
191,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
192,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
193,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
194,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
196,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
197,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
198,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
199,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
201,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
202,unrelated,discuss,discuss,discuss,discuss,agree,discuss
203,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
204,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
206,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
207,disagree,agree,unrelated,unrelated,agree,unrelated,unrelated
208,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
209,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
211,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
212,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
213,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
214,disagree,discuss,discuss,disagree,discuss,unrelated,discuss
216,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
217,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
218,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
219,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
221,disagree,agree,agree,discuss,agree,agree,agree
222,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
223,discuss,discuss,discuss,agree,discuss,agree,discuss
224,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
226,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
227,discuss,discuss,agree,discuss,discuss,agree,discuss
228,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
229,agree,agree,agree,discuss,discuss,agree,discuss
231,agree,discuss,discuss,discuss,discuss,discuss,discuss
232,discuss,agree,discuss,discuss,agree,disagree,agree
233,discuss,discuss,discuss,discuss,discuss,discuss,discuss
234,discuss,discuss,discuss,discuss,discuss,discuss,discuss
236,discuss,discuss,discuss,discuss,discuss,discuss,discuss
237,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
238,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
239,disagree,discuss,discuss,discuss,discuss,agree,discuss
241,discuss,discuss,discuss,discuss,discuss,discuss,discuss
242,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
243,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
244,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
246,discuss,discuss,discuss,discuss,discuss,discuss,discuss
247,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
248,disagree,agree,discuss,discuss,agree,agree,agree
249,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
251,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
252,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
253,discuss,discuss,discuss,discuss,discuss,discuss,discuss
254,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
256,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
257,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
258,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
259,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
261,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
262,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
263,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
264,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
266,agree,discuss,discuss,discuss,discuss,discuss,discuss
267,agree,discuss,discuss,discuss,discuss,discuss,discuss
268,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
269,discuss,discuss,discuss,discuss,discuss,agree,discuss
271,disagree,agree,agree,agree,discuss,agree,discuss
272,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
273,agree,agree,agree,agree,agree,agree,agree
274,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
276,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
277,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
278,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
279,discuss,agree,discuss,discuss,discuss,agree,discuss
281,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
282,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
283,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
284,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
286,discuss,agree,discuss,discuss,agree,unrelated,agree
287,discuss,discuss,discuss,discuss,discuss,agree,discuss
288,unrelated,discuss,discuss,discuss,discuss,unrelated,discuss
289,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
291,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
292,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
293,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
294,agree,discuss,unrelated,discuss,discuss,agree,discuss
296,discuss,agree,agree,agree,agree,agree,agree
297,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
298,discuss,discuss,discuss,discuss,discuss,discuss,discuss
299,discuss,discuss,discuss,discuss,discuss,discuss,discuss
301,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
302,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
303,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
304,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
306,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
307,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
308,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
309,discuss,unrelated,agree,agree,agree,unrelated,agree
311,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
312,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
313,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
314,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
316,discuss,discuss,discuss,discuss,discuss,agree,discuss
317,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
318,agree,discuss,discuss,agree,discuss,disagree,discuss
319,discuss,discuss,discuss,discuss,discuss,discuss,discuss
321,discuss,discuss,discuss,discuss,discuss,discuss,discuss
322,disagree,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
323,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
324,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
326,discuss,discuss,discuss,discuss,discuss,agree,discuss
327,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
328,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
329,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
331,discuss,discuss,discuss,discuss,discuss,discuss,discuss
332,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
333,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
334,discuss,discuss,discuss,discuss,discuss,discuss,discuss
336,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
337,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
338,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
339,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
341,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
342,discuss,discuss,discuss,discuss,discuss,agree,discuss
343,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
344,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
346,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
347,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
348,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
349,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
351,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
352,discuss,agree,discuss,discuss,agree,agree,discuss
353,agree,unrelated,agree,discuss,discuss,unrelated,discuss
354,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
356,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
357,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
358,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
359,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
361,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
362,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
363,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
364,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
366,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
367,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
368,discuss,discuss,discuss,discuss,discuss,agree,discuss
369,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
371,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
372,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
373,unrelated,unrelated,unrelated,discuss,unrelated,unrelated,unrelated
374,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
376,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
377,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
378,discuss,agree,discuss,disagree,agree,agree,agree
379,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
381,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
382,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
383,discuss,discuss,discuss,discuss,discuss,discuss,discuss
384,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
386,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
387,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
388,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
389,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
391,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
392,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
393,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
394,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
396,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
397,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
398,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
399,discuss,discuss,discuss,discuss,discuss,discuss,discuss
401,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
402,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
403,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
404,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
406,unrelated,unrelated,unrelated,discuss,unrelated,agree,unrelated
407,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
408,agree,discuss,discuss,discuss,discuss,agree,discuss
409,agree,agree,agree,agree,agree,unrelated,agree
411,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
412,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
413,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
414,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
416,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
417,discuss,agree,discuss,discuss,discuss,agree,discuss
418,agree,discuss,discuss,discuss,discuss,agree,discuss
419,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
421,discuss,discuss,discuss,discuss,discuss,discuss,discuss
422,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
423,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
424,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
426,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
427,unrelated,unrelated,unrelated,discuss,unrelated,disagree,unrelated
428,discuss,discuss,discuss,discuss,discuss,discuss,discuss
429,discuss,discuss,unrelated,agree,discuss,agree,discuss
431,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
432,discuss,discuss,discuss,discuss,discuss,agree,discuss
433,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
434,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
436,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
437,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
438,discuss,discuss,discuss,discuss,discuss,agree,discuss
439,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
441,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
442,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
443,agree,agree,agree,agree,agree,unrelated,agree
444,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
446,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
447,discuss,agree,discuss,unrelated,agree,unrelated,unrelated
448,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
449,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
451,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
452,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
453,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
454,discuss,discuss,unrelated,agree,discuss,disagree,discuss
456,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
457,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
458,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
459,discuss,discuss,discuss,discuss,discuss,discuss,discuss
461,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
462,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
463,discuss,discuss,unrelated,discuss,discuss,discuss,discuss
464,discuss,discuss,discuss,discuss,discuss,discuss,discuss
466,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
467,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
468,agree,agree,discuss,discuss,discuss,agree,discuss
469,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
471,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
472,agree,discuss,agree,agree,discuss,discuss,discuss
473,agree,agree,agree,agree,agree,unrelated,agree
474,discuss,discuss,disagree,discuss,discuss,discuss,discuss
476,unrelated,discuss,discuss,discuss,discuss,unrelated,discuss
477,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
478,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
479,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
481,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
482,discuss,agree,agree,discuss,discuss,agree,discuss
483,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
484,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
486,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
487,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
488,discuss,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
489,discuss,unrelated,unrelated,unrelated,unrelated,agree,unrelated
491,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
492,agree,agree,agree,agree,agree,agree,agree
493,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
494,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
496,discuss,discuss,discuss,discuss,discuss,discuss,discuss
497,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
498,discuss,agree,discuss,discuss,agree,agree,discuss
499,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
501,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
502,discuss,agree,agree,discuss,agree,unrelated,agree
503,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
504,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
506,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
