,id,Stance,uclmr,athene,solat,solat_tree,solat_deep,mix_solat_uclmr,mv_solat,mv_athene,mv_uclmr
113,113,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
114,114,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
115,115,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
116,116,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated,unrelated,unrelated,unrelated
117,117,discuss,unrelated,discuss,discuss,discuss,unrelated,unrelated,discuss,discuss,discuss
118,118,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
119,119,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
120,120,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
121,121,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
122,122,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
123,123,agree,discuss,discuss,discuss,discuss,unrelated,discuss,discuss,discuss,discuss
124,124,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
125,125,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
126,126,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
127,127,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
128,128,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
129,129,disagree,agree,agree,unrelated,unrelated,unrelated,agree,agree,agree,agree
130,130,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
131,131,disagree,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
132,132,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
133,133,agree,discuss,discuss,agree,agree,agree,agree,discuss,discuss,discuss
134,134,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
135,135,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
136,136,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
137,137,disagree,agree,discuss,agree,agree,unrelated,agree,agree,agree,agree
138,138,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
139,139,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
140,140,agree,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
141,141,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
142,142,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
143,143,disagree,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
144,144,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
145,145,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
146,146,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
147,147,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
148,148,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
149,149,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
150,150,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
151,151,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
152,152,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
153,153,unrelated,unrelated,unrelated,discuss,unrelated,discuss,unrelated,unrelated,unrelated,unrelated
154,154,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
155,155,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
156,156,agree,agree,agree,discuss,discuss,unrelated,agree,agree,agree,agree
157,157,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
158,158,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
159,159,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
160,160,unrelated,discuss,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
161,161,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated,unrelated,unrelated,unrelated
162,162,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
163,163,discuss,agree,agree,agree,agree,agree,agree,agree,agree,agree
164,164,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
165,165,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree
166,166,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
167,167,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
168,168,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
169,169,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
170,170,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
171,171,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
172,172,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
173,173,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
174,174,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
175,175,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
176,176,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
177,177,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
178,178,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
179,179,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
180,180,discuss,discuss,discuss,discuss,discuss,unrelated,discuss,discuss,discuss,discuss
181,181,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
182,182,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
183,183,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
184,184,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
185,185,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree
186,186,discuss,discuss,discuss,discuss,discuss,agree,discuss,discuss,discuss,discuss
187,187,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
188,188,discuss,discuss,disagree,discuss,discuss,agree,discuss,discuss,discuss,discuss
189,189,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
190,190,discuss,discuss,discuss,discuss,discuss,agree,discuss,discuss,discuss,discuss
191,191,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
192,192,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
193,193,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
194,194,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
195,195,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
196,196,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
197,197,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
198,198,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
199,199,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
200,200,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
201,201,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
202,202,unrelated,discuss,discuss,discuss,discuss,agree,discuss,discuss,discuss,discuss
203,203,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated,unrelated,unrelated,unrelated
204,204,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated,unrelated,unrelated,unrelated
205,205,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
206,206,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
207,207,disagree,unrelated,unrelated,agree,agree,unrelated,unrelated,unrelated,unrelated,unrelated
208,208,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
209,209,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
210,210,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
211,211,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
212,212,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
213,213,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated,unrelated,unrelated,unrelated
214,214,disagree,disagree,discuss,discuss,discuss,unrelated,discuss,discuss,discuss,discuss
215,215,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
216,216,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated,unrelated,unrelated,unrelated
217,217,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
218,218,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
219,219,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
220,220,discuss,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
221,221,disagree,discuss,agree,agree,agree,agree,agree,agree,agree,agree
222,222,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
223,223,discuss,agree,discuss,discuss,discuss,agree,discuss,discuss,discuss,discuss
224,224,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
225,225,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
226,226,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
227,227,discuss,discuss,agree,discuss,discuss,agree,discuss,discuss,discuss,discuss
228,228,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
229,229,agree,discuss,agree,agree,discuss,agree,discuss,agree,agree,agree
230,230,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
231,231,agree,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
232,232,discuss,discuss,discuss,agree,agree,disagree,agree,discuss,discuss,discuss
233,233,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
234,234,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
235,235,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
236,236,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
237,237,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
238,238,discuss,discuss,discuss,discuss,discuss,unrelated,discuss,discuss,discuss,discuss
239,239,disagree,discuss,discuss,discuss,discuss,agree,discuss,discuss,discuss,discuss
240,240,discuss,discuss,agree,agree,agree,agree,agree,agree,agree,agree
241,241,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
242,242,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
243,243,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
244,244,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
245,245,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
246,246,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
247,247,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
248,248,disagree,discuss,discuss,agree,agree,agree,agree,discuss,discuss,discuss
249,249,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
250,250,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
251,251,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated,unrelated,unrelated,unrelated
252,252,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
253,253,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
254,254,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
255,255,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
256,256,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
257,257,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
258,258,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
259,259,discuss,discuss,discuss,discuss,discuss,unrelated,discuss,discuss,discuss,discuss
260,260,discuss,discuss,agree,agree,agree,agree,discuss,agree,agree,agree
261,261,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
262,262,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
263,263,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
264,264,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated,unrelated,unrelated,unrelated
265,265,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
266,266,agree,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
267,267,agree,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss,discuss
268,268,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
269,269,discuss,discuss,discuss,discuss,discuss,agree,discuss,discuss,discuss,discuss
270,270,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
271,271,disagree,agree,agree,agree,discuss,agree,discuss,agree,agree,agree
272,272,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
273,273,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree
274,274,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
275,275,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
